,NO.,CLUSTERED,ACTUAL,RECEPTION DATETIME
0,1,31080039,304,09-May-2022 19:08:50
1,2,37470046,321,09-May-2022 19:08:51
2,3,15260038,329,09-May-2022 19:08:51
3,4,11020233,639,09-May-2022 19:08:51
4,5,10050317,581,09-May-2022 19:08:51
5,6,30220014,237,09-May-2022 19:08:51
6,7,55460098,491,09-May-2022 19:08:51
7,8,30300087,279,09-May-2022 19:08:51
8,9,31370080,362,09-May-2022 19:08:52
9,10,31020042,296,09-May-2022 19:08:52
10,11,30470009,178,09-May-2022 19:08:52
11,12,31230002,592,09-May-2022 19:08:52
12,13,64070100,514,09-May-2022 19:08:52
13,14,24020693,457,09-May-2022 19:08:52
14,15,30400031,242,09-May-2022 19:08:53
15,16,86030025,527,09-May-2022 19:08:53
16,17,52090016,396,09-May-2022 19:08:53
17,18,55140032,462,09-May-2022 19:08:53
18,19,32110005,362,09-May-2022 19:08:53
19,20,29330038,335,09-May-2022 19:08:53
20,21,30070021,351,09-May-2022 19:08:53
21,22,30220024,242,09-May-2022 19:08:53
22,23,30450017,477,09-May-2022 19:08:53
23,24,11090004,141,09-May-2022 19:08:53
24,25,13190023,682,09-May-2022 19:08:53
25,26,55420043,653,09-May-2022 19:08:53
26,27,55040015,651,09-May-2022 19:08:54
27,28,45100008,641,09-May-2022 19:08:54
28,29,6060047,108,09-May-2022 19:08:54
29,30,15200003,453,09-May-2022 19:08:54
30,31,30300011,399,09-May-2022 19:08:54
31,32,37230006,490,09-May-2022 19:08:55
32,33,60080001,300,09-May-2022 19:08:55
33,34,37480057,221,09-May-2022 19:08:55
34,35,29320016,461,09-May-2022 19:08:55
35,36,55310070,645,09-May-2022 19:08:55
36,37,49190054,517,09-May-2022 19:08:55
37,38,55290018,415,09-May-2022 19:08:55
38,39,33070011,558,09-May-2022 19:08:56
39,40,52100007,560,09-May-2022 19:08:56
40,41,54150074,593,09-May-2022 19:08:56
41,42,33100027,385,09-May-2022 19:08:56
42,43,6020003,196,09-May-2022 19:08:56
43,44,13140086,535,09-May-2022 19:08:57
44,45,27010005,443,09-May-2022 19:08:57
45,46,55420014,386,09-May-2022 19:08:57
46,47,65090069,165,09-May-2022 19:08:57
47,48,29280007,598,09-May-2022 19:08:57
48,49,33130017,356,09-May-2022 19:08:57
49,50,34220028,481,09-May-2022 19:08:57
0,51,37480028,203,09-May-2022 19:08:57
1,52,40050067,303,09-May-2022 19:08:57
2,53,28040003,570,09-May-2022 19:08:57
3,54,30190054,456,09-May-2022 19:08:57
4,55,12250029,554,09-May-2022 19:08:57
5,56,31010077,476,09-May-2022 19:08:58
6,57,50020030,690,09-May-2022 19:08:58
7,58,49120007,653,09-May-2022 19:08:58
8,59,72200042,236,09-May-2022 19:08:58
9,60,36170029,597,09-May-2022 19:08:58
10,61,73230011,532,09-May-2022 19:08:58
11,62,26130035,248,09-May-2022 19:08:58
12,63,15270070,436,09-May-2022 19:08:58
13,64,52080109,429,09-May-2022 19:08:58
14,65,53160187,528,09-May-2022 19:08:58
15,66,37170058,308,09-May-2022 19:08:58
16,67,60210006,322,09-May-2022 19:08:58
17,68,30250060,510,09-May-2022 19:08:59
18,69,47160006,567,09-May-2022 19:08:59
19,70,30200031,632,09-May-2022 19:08:59
20,71,60210043,403,09-May-2022 19:08:59
21,72,31370028,294,09-May-2022 19:08:59
22,73,55020033,588,09-May-2022 19:08:59
23,74,5090002,524,09-May-2022 19:08:59
24,75,44040014,415,09-May-2022 19:08:59
25,76,30070009,614,09-May-2022 19:08:59
26,77,24020125,374,09-May-2022 19:09:00
27,78,29110002,251,09-May-2022 19:09:00
28,79,56240001,505,09-May-2022 19:09:00
29,80,43050033,369,09-May-2022 19:09:00
30,81,21040073,622,09-May-2022 19:09:00
31,82,31060046,252,09-May-2022 19:09:00
32,83,37390003,371,09-May-2022 19:09:00
33,84,31210013,430,09-May-2022 19:09:00
34,85,49190034,493,09-May-2022 19:09:00
35,86,31150005,615,09-May-2022 19:09:01
36,87,49050011,446,09-May-2022 19:09:01
37,88,37210019,622,09-May-2022 19:09:01
38,89,42060005,128,09-May-2022 19:09:01
39,90,5070006,293,09-May-2022 19:09:01
40,91,28210014,174,09-May-2022 19:09:01
41,92,14190076,671,09-May-2022 19:09:01
42,93,30220297,359,09-May-2022 19:09:02
43,94,29250003,654,09-May-2022 19:09:02
44,95,28100001,433,09-May-2022 19:09:02
45,96,37080109,287,09-May-2022 19:09:02
46,97,32010014,217,09-May-2022 19:09:02
47,98,55040038,520,09-May-2022 19:09:02
48,99,48140017,380,09-May-2022 19:09:02
49,100,86020071,388,09-May-2022 19:09:02
0,101,73300022,532,09-May-2022 19:09:02
1,102,1160017,315,09-May-2022 19:09:02
2,103,24020956,438,09-May-2022 19:09:02
3,104,15050071,525,09-May-2022 19:09:02
4,105,29100002,389,09-May-2022 19:09:02
5,106,52150054,527,09-May-2022 19:09:03
6,107,37470138,560,09-May-2022 19:09:03
7,108,37020025,487,09-May-2022 19:09:03
8,109,24020502,542,09-May-2022 19:09:03
9,110,45090066,308,09-May-2022 19:09:03
10,111,12300011,283,09-May-2022 19:09:03
11,112,30450080,414,09-May-2022 19:09:03
12,113,37480072,539,09-May-2022 19:09:03
13,114,55440040,295,09-May-2022 19:09:04
14,115,12200001,327,09-May-2022 19:09:04
15,116,29250032,418,09-May-2022 19:09:04
16,117,35010025,248,09-May-2022 19:09:04
17,118,48090015,229,09-May-2022 19:09:04
18,119,47020008,568,09-May-2022 19:09:04
19,120,73410005,368,09-May-2022 19:09:04
20,121,83060029,385,09-May-2022 19:09:05
21,122,19140165,492,09-May-2022 19:09:05
